file_index,class
72427197,0
73199155,0
77077451,0
70252075,1
71073228,0
75903558,0
71989080,0
79193540,0
77397612,1
71092009,1
77268160,1
74009476,0
78335778,0
73543391,0
77880820,1
72129253,0
71119715,1
70007467,1
74230885,1
73931280,1
76167609,0
72721092,0
79358446,1
74196325,0
79059036,0
72594359,0
74662725,1
78964138,1
72974480,1
73037378,0
71549512,1
79411866,1
72459945,0
73958005,1
75380067,0
72908476,0
70540972,0
70068746,1
76771211,0
78565933,1
76692651,1
70179810,1
78203321,0
77110790,0
75628370,0
72365117,0
70288660,0
73657638,0
71536823,0
75731194,0
70172546,0
74140255,0
78927595,0
75924793,1
78602553,0
72463098,0
73953723,0
75566861,1
73076311,0
74337522,0
78202823,1
73573833,0
75378926,0
76704241,0
76513028,1
71090479,0
78391708,1
75969785,1
75740001,1
70232167,0
73993408,0
77226691,1
78131332,1
74439484,1
77711298,0
76874753,0
79464179,0
75034107,1
74100298,0
73573637,0
71188839,1
73004984,0
71584736,0
75247488,0
71686636,1
77457383,1
70122325,0
74402839,1
78934125,1
79364218,0
78824745,0
74818070,0
71064646,1
77367253,0
71343220,0
72550032,1
73839336,0
71895853,1
73983475,0
77095952,1
76705682,1
74745902,0
79561699,0
73029556,0
79502784,1
78235074,0
76649585,0
79991111,0
77951122,1
72725798,1
78012006,1
77522005,0
75478222,0
79128579,0
72372862,1
75931530,0
71540481,0
76508753,1
75120041,0
73720934,1
73245977,0
79355163,0
77835689,0
70667892,1
75590048,1
77066959,0
76336055,1
70014532,1
75718107,0
73878344,0
71209861,0
70709595,1
77958184,0
77489289,1
75196788,1
73736367,1
75152199,0
75590251,1
75147452,0
71838662,0
74587586,0
75668766,0
79962376,1
75057435,0
76496361,1
77323428,0
72110600,1
76938514,1
70288812,0
74680456,0
70601432,0
71197521,1
75076669,0
74939922,0
78202856,0
75956242,0
71241723,1
78968496,1
78254113,0
70536008,0
70333766,1
72403731,0
79846760,0
78630720,0
71234210,0
73331324,0
76696069,0
73001746,1
76954750,0
71346792,0
76427308,0
73749420,1
74788049,1
72243797,1
70213887,1
75384352,1
70261214,1
73353885,0
73728389,0
77243726,0
74210381,1
70409178,0
77180592,1
76358371,0
76782111,0
79665533,1
79977891,0
79367589,0
76772898,0
77556004,0
71041650,0
70347010,0
72575023,0
72906468,0
70831918,0
77091326,0
71761856,0
71160421,1
77788753,0
75809567,0
77787396,0
76339529,0
79155227,1
72874605,1
76326114,0
77162244,1
75644150,0
78471903,0
78759113,1
70873635,1
70145863,1
78942502,1
78454721,1
73619219,0
72758943,0
75432562,0
76456395,1
73014918,1
78713696,0
73873040,1
72991232,1
75921968,0
74993547,0
78323979,0
79998230,0
79859470,0
75356752,0
76915119,0
76196047,0
71389581,1
78997069,1
76816875,0
79797333,0
79657171,1
71801587,1
78749069,0
70135679,1
75593133,0
70738350,0
70015236,0
76520267,0
78474944,0
71830579,0
73493850,0
74222337,1
78492418,0
79094136,1
79114451,1
79501505,1
77843279,1
76103805,1
76269020,1
70918181,1
70301983,0
72300887,1
70282163,0
79966199,0
78434663,0
71284305,0
73884753,0
70916639,1
74096519,0
75533362,0
72722867,0
71113774,0
72383165,0
71349882,1
77419656,1
75791662,0
71260080,0
70159495,1
70897251,0
71125132,0
75230432,1
79873998,1
71783182,0
70763572,0
78438007,0
76426264,1
77627911,0
73063169,1
74993566,0
70644789,1
77389344,1
78767056,0
72135493,1
77727390,0
76862750,0
78495127,0
74120820,0
79165361,1
72739561,0
74322871,0
79532784,0
79982298,0
78221599,0
74268432,0
79378324,0
74132004,0
73257252,0
79045314,1
76753938,1
75129726,0
73777255,1
78496207,1
79361624,0
78722662,0
70995766,0
74526152,0
76852808,0
77353591,0
74691612,0
70724692,1
72346997,0
77466217,1
71063155,0
79709467,0
79905540,0
79978268,1
74118460,1
70517733,0
73345461,0
76068221,0
79744126,0
73171937,0
73570383,0
77493592,0
70076792,0
71589866,1
72013388,0
70620269,0
73420118,0
78069082,1
79082462,0
76844346,0
79204262,0
70117441,1
72433017,0
76183511,0
76781000,0
77945397,0
72799531,0
72911051,1
76950703,0
70572053,1
76416782,0
79615607,0
74477562,0
75204190,1
75209849,0
74290000,0
70303322,0
71117856,1
73891378,0
77245072,1
75962972,0
76900864,0
79794463,1
71619498,0
76893988,0
70930643,1
77810433,1
79422587,1
77712678,0
74474669,0
78377209,1
70038388,1
79605661,1
72795093,0
79641816,0
76395310,0
79959403,0
